I_DC,V_H,V,B
1.400000,3.220000,9.630000,0.047600
1.200000,2.810000,9.220000,0.040800
1.000000,2.390000,8.800000,0.034000
0.800000,1.940000,8.350000,0.027200
0.600000,1.470000,7.880000,0.020400
0.400000,0.970000,7.380000,0.013600
0.200000,0.500000,6.910000,0.006800
0.000000,0.000000,6.410000,0.000000
-0.200000,-0.490000,5.920000,-0.006800
-0.400000,-1.000000,5.410000,-0.013600
-0.600000,-1.460000,4.950000,-0.020400
-0.800000,-1.950000,4.460000,-0.027200
-1.000000,-2.410000,4.000000,-0.034000
-1.200000,-2.840000,3.570000,-0.040800
-1.400000,-3.270000,3.140000,-0.047600
